이름,날짜,내용
에츄,25.02.23,다양한 연령대가 있어서 더 재밌었어요.
진영,25.02.23,게임 실력이 늘고 있는 것 같아요!
승민,25.02.23,매주 새로운 게임이 있어서 지루할 틈이 없어요.
피치,25.03.02,설명도 꼼꼼하고 진행도 매끄러웠어요.
민민,25.03.02,모두가 환영해주는 분위기라 감사했어요.
말랑,25.03.02,덕분에 좋은 추억 만들었어요.
미키,25.03.09,간식도 나눠 먹고 편한 분위기였어요.
블링,25.03.09,새로운 친구도 사귀고 즐거운 시간이 였어요!
상준,25.03.09,즐겁게 웃으면서 놀 수 있는 좋은 시간이었어요.
셀렌,25.03.16,스텝분들이 게임 설명도 잘해주시고 분위기도 좋아요.
에츄,25.03.16,덕분에 스트레스 날리고 갑니다.
진영,25.03.16,덕분에 좋은 추억 만들었어요.
짱구,25.03.23,게임 실력이 늘고 있는 것 같아요!
채영,25.03.23,다들 친절해서 금방 적응했어요.
추잉,25.03.23,다들 친절해서 금방 적응했어요.
승민,25.03.23,설명도 꼼꼼하고 진행도 매끄러웠어요.
피치,25.03.30,시간이 금방 지나가서 아쉬웠어요.
애츄,25.03.30,생일 축하도 해주시고 감동받았어요.
진영,25.03.30,시간 가는 줄 모르고 놀았어요.
